------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
alloc address : 139806607671296, Size : 32768
alloc address : 139806607704064, Size : 32768
alloc address : 139806607736832, Size : 32768
No CUDA error.
MEMTRACE: CTX 0x000055e4486faf10 - LAUNCH - Kernel pc 0x00007f2746fa0f00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
No CUDA error.
Final sum = 24576; sum/n = 3 (should be ~1)
No CUDA error.
0x0000000040000000,0x00007f2743308f38
0x0000000040000000,0x00007f2743308f3c
0x0000000040000000,0x00007f2743308f40
0x0000000040000000,0x00007f2743308f44
0x0000000040000000,0x00007f2743308f48
0x0000000040000000,0x00007f2743308f4c
0x0000000040000000,0x00007f2743308f50
0x0000000040000000,0x00007f2743308f54
0x0000000040000000,0x00007f2743308f58
0x0000000040000000,0x00007f2743308f5c
0x0000000040000000,0x00007f2743308f60
0x0000000040000000,0x00007f2743308f64
0x0000000040000000,0x00007f2743308f68
0x0000000040000000,0x00007f2743308f6c
0x0000000040000000,0x00007f2743308f70
0x0000000040000000,0x00007f2743308f74
0x0000000040000000,0x00007f2743308f78
0x0000000040000000,0x00007f2743308f7c
0x0000000040000000,0x00007f274330c200
0x0000000040000000,0x00007f274330c204
0x0000000040000000,0x00007f274330c208
0x0000000040000000,0x00007f274330c20c
0x0000000040000000,0x00007f274330c210
0x0000000040000000,0x00007f274330c214
0x0000000040000000,0x00007f274330c218
0x0000000040000000,0x00007f274330c21c
0x0000000040000000,0x00007f274330c220
0x0000000040000000,0x00007f274330c224
0x0000000040000000,0x00007f274330c228
0x0000000040000000,0x00007f274330c22c
0x0000000040000000,0x00007f274330c230
0x0000000040000000,0x00007f274330c234
0x0000000040000000,0x00007f274330c238
0x0000000040000000,0x00007f274330c23c
0x0000000040000000,0x00007f274330c240
0x0000000040000000,0x00007f274330c244
0x0000000040000000,0x00007f274330c248
0x0000000040000000,0x00007f274330c24c
0x0000000040000000,0x00007f274330c250
0x0000000040000000,0x00007f274330c254
0x0000000040000000,0x00007f274330c258
0x0000000040000000,0x00007f274330c25c
0x0000000040000000,0x00007f274330c260
0x0000000040000000,0x00007f274330c264
0x0000000040000000,0x00007f274330c268
0x0000000040000000,0x00007f274330c26c
0x0000000040000000,0x00007f274330c270
0x0000000040000000,0x00007f274330c274
0x0000000040000000,0x00007f274330c278
0x0000000040000000,0x00007f274330c27c
0x0000000040000000,0x00007f274330d800
0x0000000040000000,0x00007f274330d804
0x0000000040000000,0x00007f274330d808
0x0000000040000000,0x00007f274330d80c
0x0000000040000000,0x00007f274330d810
0x0000000040000000,0x00007f274330d814
0x0000000040000000,0x00007f274330d818
0x0000000040000000,0x00007f274330d81c
0x0000000040000000,0x00007f274330d820
0x0000000040000000,0x00007f274330d824
0x0000000040000000,0x00007f274330d828
0x0000000040000000,0x00007f274330d82c
0x0000000040000000,0x00007f274330d830
0x0000000040000000,0x00007f274330d834
0x0000000040000000,0x00007f274330d838
0x0000000040000000,0x00007f274330d83c
0x0000000040000000,0x00007f274330d840
0x0000000040000000,0x00007f274330d844
0x0000000040000000,0x00007f274330d848
0x0000000040000000,0x00007f274330d84c
0x0000000040000000,0x00007f274330d850
0x0000000040000000,0x00007f274330d854
0x0000000040000000,0x00007f274330d858
0x0000000040000000,0x00007f274330d85c
0x0000000040000000,0x00007f274330d860
0x0000000040000000,0x00007f274330d864
0x0000000040000000,0x00007f274330d868
0x0000000040000000,0x00007f274330d86c
0x0000000040000000,0x00007f274330d870
0x0000000040000000,0x00007f274330d874
0x0000000040000000,0x00007f274330d878
0x0000000040000000,0x00007f274330d87c
0x0000000040000000,0x00007f274330ab00
0x0000000040000000,0x00007f274330ab04
0x0000000040000000,0x00007f274330ab08
0x0000000040000000,0x00007f274330ab0c
0x0000000040000000,0x00007f274330ab10
0x0000000040000000,0x00007f274330ab14
0x0000000040000000,0x00007f274330ab18
0x0000000040000000,0x00007f274330ab1c
0x0000000040000000,0x00007f274330ab20
0x0000000040000000,0x00007f274330ab24
0x0000000040000000,0x00007f274330ab28
0x0000000040000000,0x00007f274330ab2c
0x0000000040000000,0x00007f274330ab30
0x0000000040000000,0x00007f274330ab34
0x0000000040000000,0x00007f274330ab38
0x0000000040000000,0x00007f274330ab3c
0x0000000040000000,0x00007f274330ab40
0x0000000040000000,0x00007f274330ab44
0x0000000040000000,0x00007f274330ab48
0x0000000040000000,0x00007f274330ab4c
0x0000000040000000,0x00007f274330ab50
0x0000000040000000,0x00007f274330ab54
0x0000000040000000,0x00007f274330ab58
0x0000000040000000,0x00007f274330ab5c
0x0000000040000000,0x00007f274330ab60
0x0000000040000000,0x00007f274330ab64
0x0000000040000000,0x00007f274330ab68
0x0000000040000000,0x00007f274330ab6c
0x0000000040000000,0x00007f274330ab70
0x0000000040000000,0x00007f274330ab74
0x0000000040000000,0x00007f274330ab78
0x0000000040000000,0x00007f274330ab7c
0x0000000040000000,0x00007f274330a400
0x0000000040000000,0x00007f274330a404
0x0000000040000000,0x00007f274330a408
0x0000000040000000,0x00007f274330a40c
0x0000000040000000,0x00007f274330a410
0x0000000040000000,0x00007f274330a414
0x0000000040000000,0x00007f274330a418
0x0000000040000000,0x00007f274330a41c
0x0000000040000000,0x00007f274330a420
0x0000000040000000,0x00007f274330a424
0x0000000040000000,0x00007f274330a428
0x0000000040000000,0x00007f274330a42c
0x0000000040000000,0x00007f274330a430
0x0000000040000000,0x00007f274330a434
0x0000000040000000,0x00007f274330a438
0x0000000040000000,0x00007f274330a43c
0x0000000040000000,0x00007f274330a440
0x0000000040000000,0x00007f274330a444
0x0000000040000000,0x00007f274330a448
0x0000000040000000,0x00007f274330a44c
0x0000000040000000,0x00007f274330a450
0x0000000040000000,0x00007f274330a454
0x0000000040000000,0x00007f274330a458
0x0000000040000000,0x00007f274330a45c
